Ngày,Đóng cửa,Cao nhất,Thấp nhất,Mở cửa,Số lượng,Nhãn dán
2021-08-20,158.7067413330078,158.9148328654244,156.46504506341833,157.26903638709686,4039100,NKE
2021-08-23,160.5322723388672,161.64838655182936,160.0214969548511,160.27688464685914,3796500,NKE
2021-08-24,160.77825927734375,161.62007923393992,159.7472690536139,160.41884009961964,3133100,NKE
2021-08-25,160.6457977294922,161.449789200986,160.35258172520417,160.7971396777578,3003800,NKE
2021-08-26,157.88388061523438,160.34313689218965,157.26907376237722,160.21071628852366,4069600,NKE
2021-08-27,158.7697296142578,159.23397378903465,157.53807231165567,158.47602972154252,3012400,NKE
2021-08-30,159.196044921875,159.5560715530375,157.8128105770753,159.06340581406437,3537100,NKE
2021-08-31,156.07901000976562,158.86443111941426,155.56739172472362,158.74127553393043,7545600,NKE
2021-09-01,155.90847778320312,157.86017375040262,155.45371718321945,156.24955184733557,4706500,NKE
2021-09-02,155.06527709960938,156.73274235866432,154.2315372417921,156.5527434862534,4632100,NKE
2021-09-03,154.7052459716797,155.53898580540744,153.69150727074177,154.61998106775184,4254500,NKE
2021-09-07,154.08941650390625,155.24527777381329,153.39779933636464,155.09368609264354,5648800,NKE
2021-09-08,152.2609100341797,153.56834869520617,151.35137428789236,153.48308378490492,6591700,NKE
2021-09-09,154.75262451171875,157.4148903793165,154.6199853941488,156.57168146264056,8414800,NKE
2021-09-10,154.98951721191406,156.9506972534071,154.84740900162453,155.61482225035382,4252100,NKE
2021-09-13,151.13348388671875,154.35472830125374,150.00604400465704,153.06622764412344,8814500,NKE
2021-09-14,150.41342163085938,151.01030493488275,148.81228303521144,150.8018699543216,5323900,NKE
2021-09-15,149.60809326171875,149.99654152146144,147.48585310621135,149.2196450019761,6827100,NKE
2021-09-16,149.31439208984375,150.65025219861317,148.93541289227448,149.30490857454316,5085900,NKE
2021-09-17,148.19642639160156,152.53564076428174,147.86483584649596,149.65547105111787,7944800,NKE
2021-09-20,146.14051818847656,147.10689713779198,144.31199222582737,145.64785242615784,7041200,NKE
2021-09-21,146.8700408935547,147.92168474945134,145.50574459870725,146.93635322247073,5857900,NKE
2021-09-22,149.16278076171875,149.69333711184777,147.41952005227301,148.54694506800905,6844800,NKE
2021-09-23,151.1903076171875,151.86297226982035,149.9491813382742,150.36605127000257,11981500,NKE
2021-09-24,141.72549438476562,143.86668703928052,140.2190900624571,143.09925960554847,26913300,NKE
2021-09-27,140.25698852539062,142.02868560550846,139.54641877285945,141.649706396878,11479300,NKE
2021-09-28,137.66104125976562,139.77379781455045,137.37681048468866,139.5937845084491,10692300,NKE
2021-09-29,138.34320068359375,140.16225755406825,138.03054825102453,138.04950082600482,7794900,NKE
2021-09-30,137.59474182128906,139.72645137307276,136.82732869569983,138.21057769908606,10133600,NKE
2021-10-01,139.3285369873047,140.21912019891835,136.7799574219876,137.58527571927593,8112300,NKE
2021-10-04,139.404296875,139.8590574239884,138.09684403300903,139.32850104073907,7951000,NKE
2021-10-05,141.6023406982422,143.0613708346014,140.04856214955998,140.21909194384773,10881900,NKE
2021-10-06,140.97705078125,141.60235567292156,139.75486263329387,140.21910677224628,7610700,NKE
2021-10-07,143.86668395996094,145.58152318461657,142.36026521331794,142.39817035955843,7958000,NKE
2021-10-08,144.46359252929688,144.83308829589907,142.7487528315641,144.21726683708926,6333700,NKE
2021-10-11,142.37925720214844,145.51523669084688,142.17082220985597,143.99936292286154,5551200,NKE
2021-10-12,145.28782653808594,145.52468310925556,143.34559976317934,144.4067125759144,7408600,NKE
2021-10-13,148.08274841308594,148.4332915530909,145.1078301113852,146.20684819904014,8456300,NKE
2021-10-14,148.8785858154297,150.12919561852888,148.03537688694485,149.8639029230941,6024500,NKE
2021-10-15,149.7028350830078,150.00601845968214,148.32906974182762,149.503883641572,5532100,NKE
2021-10-18,151.04815673828125,151.08606188312135,147.75111750946544,149.0396177590659,5765300,NKE
2021-10-19,149.52285766601562,151.5219137093405,148.5564785849617,151.28505708355345,6198200,NKE
2021-10-20,150.1197052001953,150.4513102118079,149.04912323424495,150.167079409937,4487000,NKE
2021-10-21,153.6536102294922,153.80520192663943,149.95865296515328,150.11971372215473,6121700,NKE
2021-10-22,154.88523864746094,155.96530398963245,153.7483300435821,153.7483300435821,5323000,NKE
2021-10-25,155.5863800048828,156.06956231246508,154.10839698726085,154.6484225714315,3878200,NKE
2021-10-26,155.178955078125,156.75168628437143,154.5441811601631,156.15481751598927,4711200,NKE
2021-10-27,153.81466674804688,155.4347576375855,153.1609402830625,155.04630938207623,4163900,NKE
2021-10-28,155.81373596191406,155.94637506590888,154.25047388992706,154.43995625897995,3762000,NKE
2021-10-29,158.49497985839844,158.81711586969706,154.43052635390632,154.48736963337615,6740600,NKE
2021-11-01,157.58541870117188,159.92556282593574,157.16854881483007,158.97813652300553,3610800,NKE
2021-11-02,159.00657653808594,159.3192289889876,157.377001952127,157.9928233375946,5038000,NKE
2021-11-03,163.4310760498047,163.78161923899384,159.783478135046,160.11508320241734,7176700,NKE
2021-11-04,166.2164764404297,166.39648975487418,162.95732757585995,163.1562934646087,5460100,NKE
2021-11-05,168.17764282226562,169.68406167565226,166.27332110120133,166.49122510950338,5892200,NKE
2021-11-08,162.8152313232422,167.25864896025348,161.40356079413974,167.07865008921686,8301100,NKE
2021-11-09,164.68162536621094,164.78582836758352,161.96250240212018,162.2467331471238,4343000,NKE
2021-11-10,159.41397094726562,163.11841187525985,158.74130625638432,162.22782868985146,8185200,NKE
2021-11-11,158.1918182373047,160.68355478484872,157.86969666761115,160.68355478484872,4994900,NKE
2021-11-12,160.2003173828125,160.7592954573989,158.59916454494743,158.69391296218322,5126300,NKE
2021-11-15,159.97293090820312,161.40353936649208,159.66027850541596,160.77823456091775,3856700,NKE
